Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,88384.3,12.88,207417,148430,431313,350986,1138146
1998,90960.1,12.49,223766,159194,400956,352206,1136123
1999,93597.7,13.14,226778,164826,468178,370166,1229948
2000,93957.0,13.22,246012,172577,464343,359299,1242230
2001,93515.5,12.11,220722,155875,407846,348223,1132667
2002,94561.5,12.38,238018,166910,410985,354481,1170395
2003,98762.1,12.17,237831,172424,415213,376154,1201622
2004,101369.5,11.9,230335,168755,443372,363590,1206051
2005,103691.8,11.32,230910,163674,421953,356810,1173347
2006,105879.9,11.42,229386,164077,439224,376532,1209220
2007,107713.9,11.36,231684,174097,445067,372681,1223530
2008,109434.0,10.63,227522,165625,409445,360998,1163590
2009,105360.0,10.53,220730,158955,374707,356080,1109854
2010,106711.8,10.81,240291,164910,412030,336278,1153209
2011,106491.1,10.58,228371,163481,408881,325687,1126176
2012,108646.5,10.24,194273,149470,417169,351907,1112884
2013,109032.7,10.0,210681,159983,400274,319049,1090201
2014,109299.6,10.08,217703,162098,399716,322909,1101977
2015,109401.7,9.92,196642,157690,392673,338132,1084795
2016,109911.0,9.75,187712,153852,385679,344493,1071717
2017,110281.4,9.68,178116,152740,400047,337022,1067651
2018,110174.8,10.03,200442,156775,408078,339146,1104812
2019,110537.9,9.88,195828,154197,394162,348013,1092323
2020,109894.1,9.42,178955,139021,385193,332388,1035588
2021,114198.5,9.46,189479,147216,396172,348584,1080843
2022,114152.9,9.63,191646,150737,405252,352903,1099776
