Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,189445.6,5.91,262679,251553,279255,326348,1119835
1998,206449.1,5.68,262308,262645,306997,340750,1172701
1999,221040.8,5.39,276043,274152,279991,361724,1191909
2000,238739.3,5.27,294906,286926,309713,366110,1257656
2001,242650.1,5.6,303860,292452,375954,386387,1358653
2002,243701.9,5.57,319481,302196,353569,383283,1358529
2003,246017.4,5.53,320166,293355,368878,378045,1360444
2004,250069.3,5.55,310150,287807,373885,416502,1388344
2005,261992.9,5.42,324493,288371,383745,423023,1419633
2006,268190.8,5.34,321495,287147,391499,432152,1432294
2007,278733.8,5.25,336342,285231,399973,441952,1463499
2008,281803.3,5.15,335744,288167,402894,425009,1451812
2009,275659.1,5.19,327723,283773,404982,414312,1429981
2010,279385.6,5.3,339990,274039,446024,421140,1480617
2011,283963.8,5.02,336552,268409,407680,414017,1425353
2012,289339.5,4.82,317473,258130,407984,410798,1393184
2013,301484.1,4.7,343165,264644,400631,411902,1417745
2014,315399.0,4.53,332090,260495,415542,424096,1429945
2015,330526.1,4.35,326187,267218,424884,421520,1437163
2016,337685.2,4.12,322193,261579,381190,430271,1392337
2017,350209.1,3.99,316100,261357,386822,434622,1395893
2018,365204.5,3.96,331927,263150,402951,449455,1444798
2019,383596.0,3.86,350409,270644,402899,460396,1482498
2020,380921.9,3.54,337672,245970,388972,378289,1348654
2021,406961.5,3.41,334017,249854,372958,433399,1388899
2022,416114.4,3.52,339439,252981,372454,501084,1464010
