Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,521711.8,7.43,895890,628890,1420056,933731,3878568
1998,534933.6,6.95,833341,618903,1309778,956920,3718943
1999,552163.6,6.81,893509,633814,1266085,967862,3761268
2000,566250.9,6.94,946670,702076,1283411,998648,3930803
2001,577677.5,6.65,914231,660212,1271018,995655,3841115
2002,583507.4,6.68,946266,695247,1258482,999706,3899699
2003,598809.5,6.59,991918,697040,1267099,987901,3943959
2004,614957.1,6.49,984762,702680,1287915,1016354,3991709
2005,626290.1,6.42,999573,718174,1271750,1033665,4023160
2006,626589.9,6.21,909289,690066,1265585,1028834,3893775
2007,649638.1,6.08,960513,717084,1249614,1023313,3950524
2008,665148.3,5.9,1009562,710287,1234128,973005,3926983
2009,645206.7,5.59,915492,677299,1053052,963105,3609167
2010,666805.8,5.6,940386,678986,1158678,958193,3736668
2011,676468.3,5.51,917514,632091,1222393,955489,3730255
2012,689007.0,5.26,857063,603957,1223289,939402,3625999
2013,704195.0,5.44,922965,630859,1339115,938914,3831041
2014,718691.6,5.51,959889,645921,1414247,937983,3958027
2015,734145.1,5.28,937953,650820,1369196,915838,3873295
2016,744847.1,5.02,887329,632867,1317483,901761,3737709
2017,754318.0,4.96,859388,622233,1348163,910426,3739651
2018,763855.4,5.11,952453,644860,1395059,909110,3900099
2019,772529.5,4.91,881083,593795,1398545,921207,3793090
2020,736470.6,4.59,832990,518545,1249122,784767,3382917
2021,764601.6,4.72,856371,541829,1364951,848755,3610977
2022,772335.9,4.84,880664,559442,1445261,852459,3736887
