Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,244848.3,10.95,502224,321314,1247459,608934,2679932
1998,260549.9,10.25,475100,323078,1258313,613596,2670088
1999,268864.3,10.34,509889,330125,1310897,629855,2780767
2000,278990.4,10.27,515784,350409,1339218,658503,2863912
2001,273884.4,10.1,503120,391321,1268959,603612,2767014
2002,280723.0,10.17,534678,348625,1322033,648275,2853610
2003,293045.2,10.01,548521,369012,1345241,671909,2934680
2004,303819.8,9.64,529881,368377,1390035,639334,2927629
2005,306344.6,9.54,559833,366509,1351193,644040,2921574
2006,312525.5,9.14,516132,353184,1330893,656663,2856872
2007,322661.7,9.16,577490,376908,1360238,641108,2955744
2008,322384.3,9.04,589724,399103,1322484,601724,2913037
2009,299789.0,9.01,555226,380983,1183716,581201,2700681
2010,320731.8,8.83,575619,378923,1288285,588506,2831078
2011,321532.8,8.71,550204,371272,1298511,580709,2801094
2012,323876.2,8.38,511645,354667,1278760,568947,2714127
2013,333207.4,8.52,558860,377604,1306623,596091,2838270
2014,343827.8,8.38,573353,383839,1315627,608550,2880349
2015,341205.2,8.16,522357,366280,1286162,610891,2783648
2016,348439.2,7.84,511910,359397,1253093,608624,2731174
2017,357535.8,7.35,483792,346064,1217386,583967,2629278
2018,368762.9,7.5,544355,367435,1283625,573831,2767528
2019,371044.5,7.36,520965,355587,1283404,572895,2730490
2020,359184.7,6.97,492489,323903,1161912,526137,2502871
2021,384051.0,6.9,502770,347268,1221665,581265,2651784
2022,396009.2,6.61,514069,356892,1180045,569100,2618930
