Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,111864.6,12.74,272847,211927,565821,375036,1425632
1998,114928.1,12.41,288996,215634,539552,382455,1426637
1999,116968.4,12.07,274862,210830,525427,400473,1411593
2000,121170.2,12.14,301129,226988,517587,425637,1471342
2001,125695.7,11.87,296878,230056,500027,465135,1492094
2002,127930.2,11.3,300690,228029,482244,435153,1446115
2003,130147.8,11.35,295966,224516,511558,444999,1477038
2004,134606.6,10.81,280459,222289,540709,412086,1455543
2005,140360.1,10.74,291141,224792,553206,438257,1507395
2006,149367.1,10.4,288722,228733,586583,449700,1553740
2007,152879.6,10.11,288229,234346,564323,459438,1546334
2008,158987.8,9.75,293897,234518,560360,462022,1550799
2009,156856.8,9.31,286346,230007,502702,442492,1460918
2010,158086.4,9.76,312950,235820,540442,454409,1543325
2011,163859.3,9.39,309189,234862,551339,443583,1539089
2012,172016.0,8.82,272415,228785,569417,445884,1516599
2013,176086.8,8.77,294936,234315,571365,443410,1543616
2014,186574.4,8.6,295936,240225,589260,480259,1605218
2015,193792.6,7.94,262503,228964,578756,470075,1538774
2016,190093.5,7.96,242442,214724,587046,470340,1513227
2017,192538.6,7.86,226563,205548,603629,479158,1513410
2018,196030.5,8.07,258269,214452,621532,488491,1581303
2019,199462.1,7.72,246625,200719,618080,475915,1539219
2020,190751.7,7.54,230428,182306,600123,427319,1438549
2021,193518.0,7.68,238899,193488,599490,455351,1486317
2022,191583.0,7.97,245210,208761,617420,455970,1526435
