Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,205965.2,3.87,248065,206784,127857,213989,796695
1998,212255.0,3.69,234961,211883,120249,216761,783855
1999,218860.0,3.79,255205,218035,121223,235201,829664
2000,233874.2,3.6,270188,218880,124047,227972,841087
2001,236338.1,3.5,262225,213047,113548,237677,826497
2002,234307.3,3.46,260309,207411,107056,236682,811457
2003,236719.1,3.75,295821,222716,121018,248562,888117
2004,252680.8,3.57,296852,205826,115780,284542,903000
2005,258203.7,3.38,285269,206106,117828,262536,871740
2006,269478.6,3.03,255275,193517,110811,256709,816313
2007,278485.4,3.01,264253,210248,106839,257264,838604
2008,277793.2,2.77,253331,193683,80441,242761,770215
2009,265530.8,2.87,251826,185549,86763,239040,762917
2010,266773.4,2.88,250357,189464,88337,239152,767147
2011,261555.8,2.83,236963,182826,85637,234668,739757
2012,263649.9,2.75,231935,182503,83158,228711,725888
2013,258911.0,2.88,244471,186865,87869,225141,744468
2014,260605.8,2.87,246702,190805,85573,225363,748487
2015,268869.8,2.81,250515,198213,78124,227206,754313
2016,268196.2,2.69,225278,188519,78647,229164,722145
2017,273875.1,2.65,227664,186401,78089,232142,725063
2018,274582.8,2.73,245708,190814,76697,237401,750548
2019,274219.4,2.66,236937,185564,74356,233299,729817
2020,258625.0,2.55,225231,167476,70959,197018,660310
2021,268846.7,2.58,235078,178155,65115,214760,692868
2022,276668.8,2.56,235302,178057,68726,225858,707635
