Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,603988.6,6.12,1028274,821667,584562,1264799,3699302
1998,634032.3,6.07,1120158,870599,575060,1284395,3850212
1999,664152.0,5.88,1105460,896032,580631,1325489,3907612
2000,693837.3,5.86,1158479,946225,559085,1404072,4067861
2001,714638.0,5.67,1160719,948088,558883,1383848,4051537
2002,746252.8,5.58,1226842,988593,530065,1415511,4161011
2003,781834.2,5.35,1249770,989207,543458,1398517,4180952
2004,833946.8,5.2,1243035,1015940,528991,1546539,4334505
2005,883164.5,4.99,1256746,1025417,534392,1590005,4406559
2006,909298.9,4.9,1258765,1028418,550653,1622057,4459893
2007,922288.3,4.78,1248144,1034978,524362,1596517,4404000
2008,891766.9,4.77,1208919,1027676,516826,1496000,4249421
2009,840480.6,4.88,1215334,1001087,465514,1418416,4098315
2010,851956.4,5.05,1264768,984792,500684,1555767,4304604
2011,849395.3,4.88,1181363,961565,476791,1532074,4148487
2012,857861.3,4.72,1119610,950022,472676,1510229,4048914
2013,880183.5,4.67,1138042,960874,478208,1535361,4107826
2014,905648.5,4.59,1168972,969014,465600,1553920,4152863
2015,945929.0,4.55,1198838,1007037,490489,1611692,4303081
2016,978989.7,4.43,1197492,1006855,491108,1648177,4338511
2017,1014866.9,4.26,1164616,982646,490198,1687035,4320757
2018,1050433.8,4.19,1181051,978576,482134,1770784,4405578
2019,1079271.0,4.01,1160862,953159,479615,1744411,4330771
2020,1068377.5,3.69,1186547,890012,459263,1418661,3947125
2021,1164778.2,3.65,1175759,917209,487522,1674218,4251080
2022,1218430.2,3.55,1182578,930441,477095,1738815,4324987
