Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,120232.5,9.4,231757,161686,470007,266370,1129820
1998,121031.0,9.43,219831,159498,486508,275603,1141438
1999,123683.4,9.61,232175,170641,511722,274154,1188691
2000,129323.4,9.17,235769,171942,507440,270870,1186019
2001,128077.5,9.04,228374,180427,479109,269727,1157637
2002,131035.2,9.03,235393,186111,483039,278502,1183044
2003,137476.9,8.58,235938,191105,470651,281575,1179269
2004,149063.2,8.27,230261,181647,524679,296307,1232893
2005,153626.8,8.2,234060,180709,544319,300758,1259845
2006,155704.5,8.23,223610,188090,561897,307445,1281043
2007,162838.1,8.32,236094,193096,612170,313014,1354373
2008,160469.1,8.8,246469,200502,659262,305878,1412113
2009,156737.2,8.92,230729,193963,675535,298572,1398414
2010,161593.1,8.92,230991,190976,715149,304872,1441771
2011,164559.3,8.76,225443,189970,718314,307481,1441162
2012,170923.7,7.95,199180,177530,689442,291816,1359067
2013,171069.1,8.36,224388,191136,717858,297004,1430647
2014,180309.9,8.01,224472,188261,723456,307895,1444939
2015,185989.2,7.56,196748,175387,733087,299631,1406179
2016,186729.9,7.58,192804,161749,742859,316278,1414890
2017,187125.0,7.77,186538,159873,803409,301370,1454116
2018,189245.1,8.06,214677,170735,831545,304457,1524811
2019,188318.4,8.01,208341,166781,823635,304878,1508191
2020,187136.7,7.24,181726,140659,749598,277816,1354146
2021,198470.8,6.99,180846,143870,764672,295737,1386760
2022,197846.3,7.19,193314,159089,771307,297766,1423243
