Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,73974.1,8.76,146608,128817,191692,180913,648029
1998,75750.0,8.77,143515,123315,208866,188843,664539
1999,77421.1,8.46,140468,120673,199460,194152,654753
2000,80268.2,8.2,149201,133189,203584,172532,658506
2001,82268.1,7.99,155797,131853,207434,162383,657467
2002,83433.2,8.02,157010,134563,210602,167087,669263
2003,88310.7,7.69,153895,129811,223138,172444,679287
2004,90607.6,7.64,149532,131642,237053,173762,691989
2005,94556.0,7.39,154986,132163,238792,172823,698763
2006,97322.8,7.34,151009,134351,254036,174913,714308
2007,99780.7,7.56,158502,139490,279299,177131,754423
2008,99860.1,7.94,164053,144691,307143,176723,792610
2009,99986.4,7.74,157146,137355,303052,176690,774225
2010,103940.8,8.25,160470,138045,352959,206500,857853
2011,109734.2,7.73,155956,131229,361068,199950,848558
2012,109686.3,7.64,142280,127349,374598,193164,837756
2013,111382.2,7.69,158332,135533,368117,194014,856163
2014,115651.9,7.43,157086,135469,365286,201089,858906
2015,119640.8,6.98,141298,129940,363414,200757,834899
2016,121303.1,6.98,140746,127266,379177,199249,846208
2017,123219.9,6.8,135021,124485,378228,200744,837916
2018,125543.4,6.96,156010,136615,371940,209459,873386
2019,127481.8,6.79,155451,135691,366803,208830,865744
2020,126890.6,6.4,142462,122190,356968,191259,812464
2021,133495.7,6.32,141562,123360,379505,199312,843312
2022,137078.1,6.17,143027,122710,381422,199664,846389
