Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,351183.9,7.72,558675,424566,923243,802959,2709444
1998,377705.9,7.27,585358,435705,892471,830734,2744268
1999,404465.2,6.87,578118,440986,900749,859973,2779826
2000,417713.5,6.95,649841,485961,905977,859647,2901427
2001,422731.6,6.62,615886,484635,838864,858302,2797686
2002,427329.7,6.81,650004,476244,925110,860602,2911960
2003,439074.6,6.66,667429,493149,874674,887846,2923099
2004,461245.4,6.65,704344,524957,911019,924911,3065231
2005,480838.3,6.41,701663,534184,878525,965763,3080135
2006,487524.9,6.29,703444,537940,875696,949546,3066625
2007,492238.7,6.22,728522,558011,848797,925028,3060359
2008,481860.3,6.07,729482,558815,772243,865340,2925881
2009,464016.8,6.21,714667,541529,700748,928555,2883670
2010,471588.2,6.61,806895,571123,751741,988009,3116476
2011,481215.4,6.23,732025,552169,745480,969305,2996167
2012,489027.3,5.75,659224,526489,718355,912781,2814040
2013,499900.2,5.73,670701,517336,743031,936920,2864170
2014,517511.9,5.67,726340,536391,772291,905128,2936388
2015,540108.5,5.44,683282,539801,770544,951171,2940670
2016,561718.3,5.17,692955,541965,761868,912859,2906082
2017,583543.3,4.93,647884,517816,748866,966217,2877434
2018,600934.7,4.9,714598,531161,757367,943540,2942301
2019,620792.4,4.67,693478,521376,753197,935008,2898069
2020,602321.8,4.4,656970,473171,699943,823822,2648363
2021,639236.0,4.31,671719,493957,734141,858655,2755892
2022,655827.3,4.32,697155,527357,738901,875402,2836228
