Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,180293.9,6.24,257274,245102,228762,394605,1125743
1998,197492.1,6.01,273432,263165,224771,424601,1185968
1999,214293.9,5.76,284749,276403,225946,447923,1235022
2000,224729.3,5.74,314800,297677,217561,459904,1289942
2001,230885.6,5.64,323477,296835,206781,475183,1302277
2002,238257.1,5.45,318457,296714,197776,485241,1298188
2003,253743.1,5.2,330484,296826,192187,500087,1319583
2004,264990.0,5.18,342228,301398,218525,510232,1372384
2005,283806.2,4.97,353479,310534,214966,532787,1411766
2006,296424.4,4.92,368093,319900,220537,549475,1458004
2007,306611.6,4.79,380183,329184,216154,541658,1467180
2008,302277.9,4.74,371463,329560,227388,505233,1433644
2009,277412.4,4.87,360924,321410,192665,476281,1350479
2010,282252.5,4.97,362975,321789,203234,516379,1403878
2011,290411.3,4.92,371241,328873,217213,513046,1429424
2012,297077.3,4.72,361705,327537,213622,502608,1403421
2013,298859.9,4.75,371251,332964,207217,510916,1419110
2014,301721.2,4.72,356824,323023,227951,516873,1422839
2015,308582.8,4.67,362293,327721,226569,527003,1439724
2016,319008.4,4.58,364791,330060,230097,540077,1462217
2017,333099.0,4.39,369927,330296,221978,543370,1462699
2018,346398.3,4.26,375572,327628,219663,554196,1474472
2019,359645.7,4.15,382013,325491,218053,570116,1493085
2020,362603.5,3.96,404349,310582,215241,508175,1435329
2021,390805.2,3.79,384225,317868,214393,566304,1481293
2022,403474.2,3.78,404383,337139,219493,567372,1526882
