Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,51026.6,5.34,78822,55556,50687,87422,272487
1998,54954.5,5.01,77301,53759,48443,95884,275386
1999,56913.1,5.03,80289,57008,49215,99555,286067
2000,60742.5,4.99,82465,63703,55181,101593,302941
2001,61719.4,4.89,83669,64494,51631,101737,301532
2002,63474.2,4.9,84264,66972,46283,113405,310924
2003,66119.4,4.84,93195,70762,50112,106262,320331
2004,68428.1,4.79,93801,71992,53257,108870,327919
2005,69556.1,4.61,92008,73929,50554,103947,320438
2006,71424.5,4.24,86710,66845,45215,103935,302705
2007,71943.5,4.24,88458,68133,42799,105661,305051
2008,71195.6,4.16,85615,66242,41238,103260,296356
2009,70498.6,4.14,88238,65269,35771,102856,292039
2010,72950.4,4.03,86319,64152,38329,105364,294106
2011,73465.0,3.96,85211,64065,39199,102801,291169
2012,74082.8,3.81,79084,64086,39125,100327,282471
2013,75503.4,3.97,89304,67297,41673,101423,299737
2014,76836.2,4.01,94952,68450,42039,102497,308012
2015,79319.3,3.92,98671,69668,40765,101751,310961
2016,80736.1,3.74,91884,68376,39789,101598,302013
2017,81179.6,3.83,96668,67181,44608,102056,311065
2018,82269.5,3.87,104006,70289,40886,103199,318481
2019,84031.2,3.72,102012,68265,39245,103069,312590
2020,83182.1,3.44,95592,62633,38410,89593,286223
2021,89890.1,3.26,91471,64502,38099,98966,292935
2022,90150.5,3.3,94123,64736,38045,100457,297228
