Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,144972.7,10.31,284199,205071,665520,340229,1495020
1998,150732.6,10.21,302227,225369,651635,359539,1538769
1999,157645.5,9.88,309525,234042,642566,370957,1557091
2000,161880.2,9.91,329890,239136,656822,378736,1604585
2001,162837.1,9.55,319258,235896,617925,382124,1555203
2002,167333.0,9.52,334991,237842,630774,390050,1593657
2003,174270.8,9.1,333253,241830,616572,393778,1585433
2004,177169.4,9.58,354817,253880,641086,447812,1697596
2005,183267.5,9.1,356554,255276,628733,426716,1667280
2006,187386.1,8.98,351544,262240,623355,445720,1682859
2007,193386.6,8.6,359331,267233,592081,443626,1662272
2008,192497.1,8.48,365353,269746,562583,433734,1631416
2009,184081.3,8.48,355918,259089,501703,444790,1560558
2010,188777.2,8.75,398269,271233,524575,458785,1652154
2011,193221.0,8.34,366891,259521,535430,450670,1610883
2012,195406.1,8.0,337191,257074,534239,436844,1563781
2013,200147.3,7.91,344966,254719,532655,453385,1583277
2014,206077.9,7.9,371488,264344,549128,445516,1628281
2015,213212.4,7.73,358996,271854,551010,467831,1647396
2016,220559.3,7.45,363926,276349,524412,481936,1644054
2017,224937.6,7.27,347628,271070,528364,490039,1635110
2018,231663.3,7.14,372157,270784,524530,489055,1653516
2019,237511.4,6.81,358885,267175,513242,481887,1617874
2020,233712.3,6.44,348032,247390,478700,433646,1504383
2021,244854.0,6.54,362136,255254,508432,476968,1601142
2022,250873.4,6.47,374356,288786,498354,463578,1623415
